eventtype,event_name,control,prpf38,prpf8,prpf8_diff,prpf38_diff,symbol
MXE,1:142618769:142618856:+@1:142619387:142619579:+@1:142619630:142619717:+@1:142621001:142621059:+,0.67,0.62,0.695,same,same,RP11-417J8.6
MXE,1:143705011:143705246:+@1:143709266:143709317:+@1:143712474:143712581:+@1:143713367:143713485:+,0.5,0.495,0.36,lower,same,RP6-206I17.1
MXE,1:143705011:143705246:+@1:143709266:143709317:+@1:143712474:143712581:+@1:143713367:143713485:+,0.5,0.495,0.36,lower,same,RP6-206I17.2
MXE,1:143705011:143705246:+@1:143709266:143709317:+@1:143712474:143712630:+@1:143713367:143713485:+,0.57,0.49,0.51,same,same,RP6-206I17.1
MXE,1:143705011:143705246:+@1:143709266:143709317:+@1:143712474:143712630:+@1:143713367:143713485:+,0.57,0.49,0.51,same,same,RP6-206I17.2
MXE,1:144284622:144284857:-@1:144280578:144280629:-@1:144277252:144277410:-@1:144275918:144276523:-,0.463333333333333,0.44,0.54,same,same,LINC00623
MXE,1:144284622:144284857:-@1:144280578:144280629:-@1:144277303:144277410:-@1:144275918:144276523:-,0.416666666666667,0.53,0.4775,same,higher,LINC00623
MXE,1:144284622:144284857:-@1:144284292:144284409:-@1:144283036:144283165:-@1:144281066:144281190:-,0.445,0.54,0.4975,same,same,LINC00623
MXE,1:144464864:144465099:-@1:144460821:144460872:-@1:144457495:144457653:-@1:144456138:144456766:-,0.51,0.464,0.453333333333333,same,same,AL592284.1
MXE,1:144464864:144465099:-@1:144460821:144460872:-@1:144457495:144457653:-@1:144456138:144456766:-,0.51,0.464,0.453333333333333,same,same,RP11-640M9.1
MXE,1:144464864:144465099:-@1:144460821:144460872:-@1:144457546:144457653:-@1:144456138:144456766:-,0.52,0.53,0.536666666666667,same,same,AL592284.1
MXE,1:144464864:144465099:-@1:144460821:144460872:-@1:144457546:144457653:-@1:144456138:144456766:-,0.52,0.53,0.536666666666667,same,same,RP11-640M9.1
MXE,1:144464864:144465099:-@1:144464534:144464651:-@1:144463278:144463407:-@1:144461309:144461433:-,0.535,0.4925,0.445,same,same,AL592284.1
MXE,1:144464864:144465099:-@1:144464534:144464651:-@1:144463278:144463407:-@1:144461309:144461433:-,0.535,0.4925,0.445,same,same,RP11-640M9.1
MXE,1:144593363:144593965:+@1:144594389:144594483:+@1:144595854:144595952:+@1:144598512:144598780:+,0.122,0.144,0.192,same,same,RP11-640M9.2
MXE,1:144606369:144606510:+@1:144606838:144607061:+@1:144614840:144614993:+@1:144615096:144615303:+,0.438,0.328,0.2,lower,lower,PFN1P2
MXE,1:144606369:144606510:+@1:144606838:144607061:+@1:144614840:144614993:+@1:144615096:144615303:+,0.438,0.328,0.2,lower,lower,RP11-640M9.2
MXE,1:144606369:144606510:+@1:144606938:144607061:+@1:144614840:144614993:+@1:144615096:144615303:+,0.19,0.148,0.114,same,same,PFN1P2
MXE,1:144606369:144606510:+@1:144606938:144607061:+@1:144614840:144614993:+@1:144615096:144615303:+,0.19,0.148,0.114,same,same,RP11-640M9.2
MXE,1:144874681:144874904:-@1:144873877:144874029:-@1:144871696:144871881:-@1:144867921:144868172:-,0.948,0.762,0.57,lower,lower,PDE4DIP
MXE,1:145281369:145281704:+@1:145290429:145290511:+@1:145293114:145293268:+@1:145293371:145293580:+,0.87,0.808,0.882,same,same,NBPF10
MXE,1:145281369:145281704:+@1:145290429:145290511:+@1:145293114:145293268:+@1:145293371:145293580:+,0.87,0.808,0.882,same,same,NOTCH2NL
MXE,1:145281369:145281704:+@1:145290429:145290511:+@1:145293114:145293268:+@1:145293371:145293580:+,0.87,0.808,0.882,same,same,RP11-458D21.5
MXE,1:145293114:145293268:+@1:145293371:145293580:+@1:145299730:145299939:+@1:145301720:145301822:+,0.402,0.398,0.426,same,same,NBPF10
MXE,1:145293114:145293268:+@1:145293371:145293580:+@1:145299730:145299939:+@1:145301720:145301822:+,0.402,0.398,0.426,same,same,RP11-458D21.5
MXE,1:145363679:145363851:+@1:145364566:145364674:+@1:145367714:145367822:+@1:145368441:145370303:+,0.438,0.452,0.462,same,same,NBPF10
MXE,1:145377017:145377311:-@1:145376544:145376692:-@1:145375343:145376447:-@1:145373054:145373507:-,0.204,0.276,0.246,same,same,RP11-458D21.1
MXE,1:145382056:145382434:-@1:145377017:145377311:-@1:145376544:145376692:-@1:145375343:145376447:-,0.25,0.168,0.238,same,same,RP11-458D21.1
MXE,1:145507436:145507857:-@1:145497628:145497735:-@1:145495025:145495267:-@1:145493881:145493975:-,0.986,0.984,0.994,same,same,LIX1L
MXE,1:145507436:145507857:-@1:145497628:145497735:-@1:145495025:145495267:-@1:145493881:145493975:-,0.986,0.984,0.994,same,same,RBM8A
MXE,1:145507436:145507857:-@1:145497628:145497735:-@1:145495025:145495267:-@1:145493881:145493975:-,0.986,0.984,0.994,same,same,RP11-315I20.1
MXE,1:145507436:145507857:-@1:145502934:145503009:-@1:145495025:145495267:-@1:145493881:145493975:-,0.99,0.986,0.998,same,same,LIX1L
MXE,1:145507436:145507857:-@1:145502934:145503009:-@1:145495025:145495267:-@1:145493881:145493975:-,0.99,0.986,0.998,same,same,RBM8A
MXE,1:145507436:145507857:-@1:145502934:145503009:-@1:145495025:145495267:-@1:145493881:145493975:-,0.99,0.986,0.998,same,same,RP11-315I20.1
MXE,1:145507436:145507857:-@1:145502934:145503009:-@1:145497628:145497735:-@1:145493881:145493975:-,0.96,0.958,0.972,same,same,LIX1L
MXE,1:145507436:145507857:-@1:145502934:145503009:-@1:145497628:145497735:-@1:145493881:145493975:-,0.96,0.958,0.972,same,same,RBM8A
MXE,1:145507436:145507857:-@1:145502934:145503009:-@1:145497628:145497735:-@1:145493881:145493975:-,0.96,0.958,0.972,same,same,RP11-315I20.1
MXE,1:145646115:145646173:+@1:145646279:145646469:+@1:145648016:145648067:+@1:145650483:145650540:+,0.372,0.378,0.32,same,same,RNF115
MXE,1:145826888:145827073:-@1:145826388:145826715:-@1:145822814:145822859:-@1:145818767:145818826:-,0.07,0.11,0.146,same,same,GPR89A
MXE,1:147126309:147126441:-@1:147124395:147124450:-@1:147124252:147124352:-@1:147121946:147122041:-,0.062,0.11,0.128,same,same,ACP6
MXE,1:147609990:147610088:-@1:147608165:147608316:-@1:147607951:147608092:-@1:147599424:147599571:-,0.13,0.128,0.162,same,same,NBPF24
MXE,1:147609990:147610088:-@1:147608165:147608316:-@1:147607951:147608092:-@1:147599424:147599571:-,0.13,0.128,0.162,same,same,PFN1P4
MXE,1:148013320:148013371:-@1:148012503:148012675:-@1:148006226:148006398:-@1:148005466:148005511:-,0.672,0.664,0.686,same,same,NBPF14
MXE,1:148014081:148014253:-@1:148013320:148013371:-@1:148007039:148007090:-@1:148006226:148006398:-,0.528,0.522,0.516,same,same,NBPF14
MXE,1:148014854:148014905:-@1:148014081:148014253:-@1:148007800:148007972:-@1:148007039:148007090:-,0.472,0.464,0.482,same,same,NBPF14
MXE,1:148015625:148015797:-@1:148010113:148010164:-@1:148008573:148008624:-@1:148007800:148007972:-,0.452,0.444,0.454,same,same,NBPF14
MXE,1:148015625:148015797:-@1:148014854:148014905:-@1:148008573:148008624:-@1:148007800:148007972:-,0.376,0.352,0.37,same,same,NBPF14
MXE,1:148015625:148015797:-@1:148014854:148014905:-@1:148010113:148010164:-@1:148007800:148007972:-,0.42,0.408,0.418,same,same,NBPF14
MXE,1:150202906:150203028:-@1:150198940:150199127:-@1:150195512:150195566:-@1:150190717:150193063:-,0.522,0.566,0.582,same,same,ANP32E
MXE,1:150204115:150204264:-@1:150202906:150203028:-@1:150201405:150201570:-@1:150198940:150199127:-,0.474,0.488,0.55,same,same,ANP32E
MXE,1:150208081:150208504:-@1:150202906:150203028:-@1:150201405:150201447:-@1:150198940:150199127:-,0.47,0.488,0.592,higher,same,ANP32E
MXE,1:150208081:150208504:-@1:150202906:150203028:-@1:150201405:150201477:-@1:150198940:150199127:-,0.386,0.404,0.498,higher,same,ANP32E
MXE,1:150208081:150208504:-@1:150204115:150204264:-@1:150202906:150203028:-@1:150201405:150201570:-,0.564,0.568,0.552,same,same,ANP32E
MXE,1:150241098:150241703:-@1:150240357:150240391:-@1:150240116:150240189:-@1:150239756:150239878:-,0.05,0.052,0.056,same,same,APH1A
MXE,1:150241098:150241703:-@1:150240357:150240391:-@1:150240116:150240189:-@1:150239756:150239878:-,0.05,0.052,0.056,same,same,C1orf54
MXE,1:150241098:150241703:-@1:150240357:150240527:-@1:150240116:150240189:-@1:150239756:150239878:-,0.526,0.536,0.53,same,same,APH1A
MXE,1:150241098:150241703:-@1:150240357:150240527:-@1:150240116:150240189:-@1:150239756:150239878:-,0.526,0.536,0.53,same,same,C1orf54
MXE,1:150461440:150461563:+@1:150463077:150463201:+@1:150463870:150463987:+@1:150464887:150464965:+,0.692,0.696,0.72,same,same,TARS2
MXE,1:150463077:150463201:+@1:150463870:150463987:+@1:150464887:150464965:+@1:150470006:150470223:+,0.76,0.786,0.814,same,same,TARS2
MXE,1:150980953:150981147:+@1:150981326:150981329:+@1:150990288:150990380:+@1:150997991:150998149:+,0.06,0.088,0.2,higher,same,PRUNE
MXE,1:150980953:150981147:+@1:150981326:150981329:+@1:150990288:150990380:+@1:150997991:150998149:+,0.06,0.088,0.2,higher,same,RNU6-884P
MXE,1:150980953:150981147:+@1:150981326:150981329:+@1:150997087:150997271:+@1:150997991:150998149:+,0.03,0.034,0.08,same,same,PRUNE
MXE,1:150980953:150981147:+@1:150981326:150981329:+@1:150997087:150997271:+@1:150997991:150998149:+,0.03,0.034,0.08,same,same,RNU6-884P
MXE,1:150980953:150981147:+@1:150990288:150990380:+@1:150997087:150997271:+@1:150997991:150998149:+,0.402,0.386,0.376,same,same,PRUNE
MXE,1:150980953:150981147:+@1:150990288:150990380:+@1:150997087:150997271:+@1:150997991:150998149:+,0.402,0.386,0.376,same,same,RNU6-884P
MXE,1:150980953:150981147:+@1:150990288:150990380:+@1:150997991:150998149:+@1:150999709:150999803:+,0.366,0.372,0.358,same,same,PRUNE
MXE,1:150980953:150981147:+@1:150990288:150990380:+@1:150997991:150998149:+@1:150999709:150999803:+,0.366,0.372,0.358,same,same,RNU6-884P
MXE,1:150990288:150990380:+@1:150990943:150991145:+@1:150997991:150998149:+@1:150999709:150999803:+,0.312,0.416,0.412,same,higher,PRUNE
MXE,1:150990288:150990380:+@1:150990943:150991145:+@1:150997991:150998149:+@1:150999709:150999803:+,0.312,0.416,0.412,same,higher,RNU6-884P
MXE,1:150990288:150990380:+@1:150991033:150991145:+@1:150997991:150998149:+@1:150999709:150999803:+,0.212,0.254,0.274,same,same,PRUNE
MXE,1:150990288:150990380:+@1:150991033:150991145:+@1:150997991:150998149:+@1:150999709:150999803:+,0.212,0.254,0.274,same,same,RNU6-884P
MXE,1:151060666:151060773:+@1:151060946:151060993:+@1:151062882:151063049:+@1:151065668:151065862:+,0.104,0.088,0.118,same,same,GABPB2
MXE,1:151299747:151300133:-@1:151298648:151298849:-@1:151288049:151288148:-@1:151280050:151280277:-,0.366,0.338,0.28,same,same,PI4KB
MXE,1:151299747:151300133:-@1:151298648:151298849:-@1:151288049:151288985:-@1:151280050:151280277:-,0.21,0.19,0.152,same,same,PI4KB
MXE,1:151299747:151300133:-@1:151298648:151298849:-@1:151297221:151297393:-@1:151288049:151288985:-,0.804,0.758,0.696,lower,same,PI4KB
MXE,1:151342189:151342245:-@1:151341918:151341982:-@1:151341476:151341665:-@1:151340675:151340795:-,0.17,0.202,0.26,same,same,SELENBP1
MXE,1:151342189:151342245:-@1:151341918:151341982:-@1:151341480:151341665:-@1:151340675:151340795:-,0.082,0.104,0.15,same,same,SELENBP1
MXE,1:151342189:151342245:-@1:151341918:151342030:-@1:151341476:151341665:-@1:151340675:151340795:-,0.652,0.602,0.546,lower,same,SELENBP1
MXE,1:151342189:151342245:-@1:151341918:151342030:-@1:151341480:151341665:-@1:151340675:151340795:-,0.492,0.452,0.404,same,same,SELENBP1
MXE,1:151739639:151739775:+@1:151740534:151740709:+@1:151742648:151742733:+@1:151743553:151743805:+,0.472,0.354,0.422,same,lower,OAZ3
MXE,1:151739639:151739775:+@1:151740534:151740709:+@1:151742648:151742733:+@1:151743553:151743805:+,0.472,0.354,0.422,same,lower,RP11-98D18.3
MXE,1:151739639:151739775:+@1:151740534:151740709:+@1:151742648:151742733:+@1:151743553:151743805:+,0.472,0.354,0.422,same,lower,TDRKH
MXE,1:153603487:153603587:-@1:153600597:153600713:-@1:153599959:153600074:-@1:153598796:153599009:-,0.018,0.034,0.02,same,same,RP1-178F15.5
MXE,1:153603487:153603587:-@1:153600597:153600713:-@1:153599959:153600074:-@1:153598796:153599009:-,0.018,0.034,0.02,same,same,S100A1
MXE,1:153603487:153603587:-@1:153600597:153600713:-@1:153599959:153600074:-@1:153598796:153599009:-,0.018,0.034,0.02,same,same,S100A13
MXE,1:154145384:154145454:-@1:154144505:154144580:-@1:154143889:154143964:-@1:154143125:154143187:-,1,1,1,same,same,TPM3
MXE,1:154928545:154928583:-@1:154926147:154926233:-@1:154924271:154924395:-@1:154923947:154924011:-,0.376,0.386,0.32,same,same,PBXIP1
MXE,1:154962635:154962733:+@1:154965041:154965149:+@1:154965189:154965262:+@1:154965378:154965587:+,0.062,0.044,0.05,same,same,FLAD1
MXE,1:154962815:154963004:+@1:154965041:154965149:+@1:154965189:154965262:+@1:154965378:154965587:+,0.056,0.04,0.046,same,same,FLAD1
MXE,1:155032681:155032819:+@1:155033239:155033308:+@1:155033894:155033965:+@1:155034380:155034451:+,0.91,0.964,0.95,same,same,ADAM15
MXE,1:155032681:155032819:+@1:155033239:155033308:+@1:155033894:155033965:+@1:155034721:155034845:+,0.914,0.964,0.956,same,same,ADAM15
MXE,1:155033239:155033308:+@1:155033891:155033965:+@1:155034380:155034451:+@1:155034721:155034845:+,0.356,0.272,0.256,same,same,ADAM15
MXE,1:155033239:155033308:+@1:155033891:155033965:+@1:155034380:155034593:+@1:155034721:155034845:+,0.78,0.758,0.708,same,same,ADAM15
MXE,1:155033239:155033308:+@1:155033894:155033965:+@1:155034380:155034451:+@1:155034721:155034845:+,0.338,0.268,0.252,same,same,ADAM15
MXE,1:155033239:155033308:+@1:155033894:155033965:+@1:155034380:155034593:+@1:155034721:155034845:+,0.774,0.764,0.714,same,same,ADAM15
MXE,1:155033894:155033965:+@1:155034052:155034122:+@1:155034380:155034451:+@1:155034721:155034845:+,0.024,0.04,0.056,same,same,ADAM15
MXE,1:155033894:155033965:+@1:155034052:155034122:+@1:155034380:155034593:+@1:155034721:155034845:+,0.744,0.848,0.774,same,higher,ADAM15
MXE,1:155108775:155108852:+@1:155109304:155109427:+@1:155110037:155110198:+@1:155110455:155110574:+,0.378,0.346,0.304,same,same,SLC50A1
MXE,1:155160484:155160539:-@1:155160198:155160334:-@1:155159931:155160020:-@1:155159701:155159850:-,0.554,0.556,0.538,same,same,MUC1
MXE,1:155160484:155160539:-@1:155160198:155160334:-@1:155159931:155160020:-@1:155159701:155159850:-,0.554,0.556,0.538,same,same,RP11-201K10.3
MXE,1:155160484:155160539:-@1:155160198:155160334:-@1:155159931:155160052:-@1:155159701:155159850:-,0.534,0.524,0.516,same,same,MUC1
MXE,1:155160484:155160539:-@1:155160198:155160334:-@1:155159931:155160052:-@1:155159701:155159850:-,0.534,0.524,0.516,same,same,RP11-201K10.3
MXE,1:155160639:155160707:-@1:155160198:155160334:-@1:155159931:155160052:-@1:155159701:155159850:-,0.42,0.408,0.418,same,same,MUC1
MXE,1:155160639:155160707:-@1:155160198:155160334:-@1:155159931:155160052:-@1:155159701:155159850:-,0.42,0.408,0.418,same,same,RP11-201K10.3
MXE,1:155160639:155160707:-@1:155160484:155160539:-@1:155160198:155160334:-@1:155159931:155160020:-,0.476,0.536,0.558,same,same,MUC1
MXE,1:155160639:155160707:-@1:155160484:155160539:-@1:155160198:155160334:-@1:155159931:155160052:-,0.326,0.398,0.444,higher,same,MUC1
MXE,1:155161974:155162074:-@1:155160639:155160688:-@1:155159931:155160020:-@1:155159701:155159850:-,0.02,0.028,0.098,same,same,MUC1
MXE,1:155161974:155162074:-@1:155160639:155160688:-@1:155159931:155160020:-@1:155159701:155159850:-,0.02,0.028,0.098,same,same,RP11-201K10.3
MXE,1:155161974:155162074:-@1:155160639:155160688:-@1:155160484:155160488:-@1:155159931:155160052:-,0.044,0.078,0.14,same,same,MUC1
MXE,1:155161974:155162074:-@1:155160639:155160688:-@1:155160484:155160488:-@1:155160198:155160334:-,0.028,0.038,0.068,same,same,MUC1
