eventtype,event_name,control,prpf38,prpf8,prpf8_diff,prpf38_diff,symbol
RI,1:145608659-145608621:-@1:145608507-145608404:-,0.678,0.782,0.924,higher,higher,POLR3C
RI,1:145699090-145698953:-@1:145696600-145695933:-,0.374,0.452,0.478,higher,same,CD160
RI,1:145699090-145698953:-@1:145696600-145695933:-,0.374,0.452,0.478,higher,same,RNF115
RI,1:146157244-146157181:-@1:146157067-146156940:-,0.414,0.58,0.38,same,higher,RP4-565E6.1
RI,1:146157244-146157181:-@1:146157067-146156940:-,0.414,0.58,0.38,same,higher,WI2-3658N16.1
RI,1:149902857-149902684:-@1:149902439-149902257:-,0.062,0.102,0.19,higher,same,MTMR11
RI,1:150935450-150935615:+@1:150936006-150936217:+,0.04,0.056,0.074,same,same,CERS2
RI,1:150935450-150935615:+@1:150936006-150936217:+,0.04,0.056,0.074,same,same,SETDB1
RI,1:150939678-150939550:-@1:150939338-150939232:-,0.012,0.014,0.016,same,same,CERS2
RI,1:150940190-150940140:-@1:150939960-150939868:-,0.022,0.028,0.026,same,same,CERS2
RI,1:151028469-151028153:-@1:151027602-151027492:-,0.036,0.03,0.032,same,same,CDC42SE1
RI,1:151237308-151237394:+@1:151237642-151237710:+,0.01,0.018,0.02,same,same,PSMD4
RI,1:151238480-151238588:+@1:151238784-151238915:+,0.03,0.032,0.03,same,same,PSMD4
RI,1:151238480-151238597:+@1:151238784-151238915:+,0.04,0.046,0.042,same,same,PSMD4
RI,1:151315654-151315550:-@1:151314561-151314436:-,0.972,0.956,0.916,same,same,RFX5
RI,1:151315654-151315550:-@1:151314561-151314436:-,0.972,0.956,0.916,same,same,RP11-126K1.8
RI,1:151338160-151338039:-@1:151337757-151337665:-,0.024,0.066,0.138,higher,same,SELENBP1
RI,1:151338160-151338082:-@1:151337714-151337665:-,0.71,0.8,0.73,same,same,SELENBP1
RI,1:151338929-151338751:-@1:151338322-151338244:-,0.044,0.074,0.258,higher,same,SELENBP1
RI,1:151342030-151341918:-@1:151341665-151341480:-,0.154,0.362,0.694,higher,higher,SELENBP1
RI,1:151342245-151342189:-@1:151341665-151341480:-,0.384,0.614,0.768,higher,higher,SELENBP1
RI,1:151342245-151342189:-@1:151342030-151341480:-,0.132,0.216,0.524,higher,same,SELENBP1
RI,1:151373715-151373831:+@1:151374018-151374106:+,0.03,0.096,0.258,higher,same,PSMB4
RI,1:151379499-151379387:-@1:151379107-151379083:-,0.026,0.02,0.018,same,same,POGZ
RI,1:153600074-153599959:-@1:153599009-153598796:-,0.038,0.042,0.048,same,same,RP1-178F15.5
RI,1:153600074-153599959:-@1:153599009-153598796:-,0.038,0.042,0.048,same,same,S100A13
RI,1:153604716-153604631:-@1:153604539-153604510:-,0.862,0.782,0.884,same,same,RP1-178F15.4
RI,1:153604716-153604631:-@1:153604539-153604510:-,0.862,0.782,0.884,same,same,RP1-178F15.5
RI,1:153604716-153604631:-@1:153604539-153604510:-,0.862,0.782,0.884,same,same,S100A1
RI,1:153604716-153604631:-@1:153604539-153604510:-,0.862,0.782,0.884,same,same,S100A13
RI,1:153609048-153609129:+@1:153610771-153610924:+,0.054,0.062,0.076,same,same,CHTOP
RI,1:153635752-153635691:-@1:153635609-153635495:-,0.026,0.03,0.036,same,same,ILF2
RI,1:153744816-153744916:+@1:153745115-153745187:+,0.02,0.016,0.02,same,same,INTS3
RI,1:15386668-15386798:+@1:15390068-15390118:+,0.01,0.02,0.012,same,same,KAZN
RI,1:153903540-153903168:-@1:153903079-153903015:-,0.06,0.088,0.172,higher,same,DENND4B
RI,1:153903540-153903423:-@1:153903333-153903168:-,0.094,0.086,0.184,same,same,DENND4B
RI,1:153927642-153927541:-@1:153927465-153927349:-,0.032,0.03,0.034,same,same,CRTC2
RI,1:153941406-153941652:+@1:153941810-153941931:+,0.082,0.118,0.172,same,same,CREB3L4
RI,1:153945220-153945312:+@1:153945448-153945554:+,0.102,0.154,0.25,higher,same,CREB3L4
RI,1:153949489-153949452:-@1:153949251-153949169:-,0.044,0.21,0.37,higher,higher,JTB
RI,1:153963239-153963278:+@1:153963390-153963510:+,0.892,0.898,0.94,same,same,RPS27
RI,1:154245812-154246010:+@1:154246250-154246437:+,0.45,0.466,0.462,same,same,HAX1
RI,1:154245812-154246074:+@1:154246226-154246437:+,0.022,0.032,0.05,same,same,HAX1
RI,1:154245812-154246074:+@1:154246250-154246437:+,0.026,0.028,0.036,same,same,HAX1
RI,1:154247426-154247477:+@1:154247554-154247736:+,0.064,0.1,0.178,higher,same,HAX1
RI,1:154247426-154247477:+@1:154247630-154247736:+,0.022,0.024,0.038,same,same,HAX1
RI,1:154247630-154247736:+@1:154247869-154247959:+,0.03,0.032,0.042,same,same,HAX1
RI,1:154525296-154525212:-@1:154524940-154524880:-,0.02,0.022,0.026,same,same,UBE2Q1
RI,1:154924397-154924271:-@1:154924011-154923947:-,0.034,0.03,0.036,same,same,PBXIP1
RI,1:154962635-154962733:+@1:154962815-154963004:+,0.092,0.108,0.162,same,same,FLAD1
RI,1:154965189-154965262:+@1:154965378-154965587:+,0.044,0.032,0.036,same,same,FLAD1
RI,1:155105979-155106044:+@1:155106206-155106256:+,0.022,0.016,0.024,same,same,EFNA1
RI,1:155110656-155110985:+@1:155111236-155111329:+,0.914,0.916,0.882,same,same,SLC50A1
RI,1:155144965-155144827:-@1:155142333-155142267:-,0.518,0.384,0.564,same,lower,KRTCAP2
RI,1:155144965-155144827:-@1:155142333-155142267:-,0.518,0.384,0.564,same,lower,RP11-201K10.3
RI,1:155145368-155145214:-@1:155145104-155145041:-,0.058,0.06,0.054,same,same,KRTCAP2
RI,1:155145368-155145214:-@1:155145104-155145041:-,0.058,0.06,0.054,same,same,RP11-201K10.3
RI,1:155180339-155180418:+@1:155181918-155182010:+,0.04,0.054,0.038,same,same,MTX1
RI,1:155180339-155180418:+@1:155181918-155182010:+,0.04,0.054,0.038,same,same,RP11-263K19.6
RI,1:155185578-155185553:-@1:155185442-155185354:-,0.564,0.516,0.686,higher,same,GBAP1
RI,1:155186820-155186648:-@1:155186412-155186175:-,0.024,0.034,0.024,same,same,GBAP1
RI,1:155187840-155187755:-@1:155187164-155187031:-,0.022,0.03,0.032,same,same,GBAP1
RI,1:155205635-155205472:-@1:155205102-155204986:-,0.018,0.018,0.02,same,same,GBA
RI,1:155294893-155294969:+@1:155295107-155295281:+,0.066,0.084,0.086,same,same,RUSC1
RI,1:155295655-155295701:+@1:155296371-155296923:+,0.008,0.014,0.016,same,same,RUSC1
RI,1:155295655-155295701:+@1:155296401-155296923:+,0.036,0.038,0.044,same,same,RUSC1
RI,1:155295655-155295701:+@1:155296689-155296923:+,0.298,0.29,0.278,same,same,RUSC1
RI,1:155580032-155580123:+@1:155580216-155580351:+,0.18,0.27,0.562,higher,same,MSTO1
RI,1:155580032-155580123:+@1:155580216-155580351:+,0.18,0.27,0.562,higher,same,RP11-29H23.4
RI,1:155581007-155581082:+@1:155581218-155581394:+,0.868,0.894,0.946,same,same,MSTO1
RI,1:155581007-155581082:+@1:155581218-155581394:+,0.868,0.894,0.946,same,same,MSTO2P
RI,1:155581007-155581082:+@1:155581340-155581394:+,0.1,0.148,0.482,higher,same,MSTO1
RI,1:155581007-155581082:+@1:155581340-155581394:+,0.1,0.148,0.482,higher,same,MSTO2P
RI,1:155581007-155581146:+@1:155581340-155581394:+,0.408,0.368,0.44,same,same,MSTO1
RI,1:155581007-155581146:+@1:155581340-155581394:+,0.408,0.368,0.44,same,same,MSTO2P
RI,1:155707948-155708049:+@1:155708400-155708801:+,0.998,0.998,1,same,same,DAP3
RI,1:155707948-155708049:+@1:155708400-155708801:+,0.998,0.998,1,same,same,MSTO1
RI,1:155707948-155708049:+@1:155708400-155708801:+,0.998,0.998,1,same,same,MSTO2P
RI,1:155786053-155786003:-@1:155785691-155785596:-,0.026,0.028,0.04,same,same,GON4L
RI,1:155982356-155982176:-@1:155981678-155981601:-,0.102,0.104,0.124,same,same,SSR2
RI,1:155982356-155982186:-@1:155981678-155981601:-,0.118,0.13,0.138,same,same,SSR2
RI,1:156084504-156084582:+@1:156084755-156085065:+,0.996,0.996,0.994,same,same,LMNA
RI,1:1560926-1561033:+@1:1562030-1562134:+,0.09,0.214,0.28,higher,higher,MIB2
RI,1:156106712-156106819:+@1:156106904-156107023:+,0.05,0.056,0.06,same,same,LMNA
RI,1:156107445-156107534:+@1:156108279-156108548:+,0.138,0.138,0.178,same,same,LMNA
RI,1:156169626-156170019:+@1:156170089-156170263:+,0.968,0.966,0.96,same,same,SLC25A44
RI,1:156216041-156215914:-@1:156215778-156215573:-,0.36,0.715,0.28,same,higher,PAQR6
RI,1:1562217-1562379:+@1:1562454-1562587:+,0.042,0.098,0.178,higher,same,MIB2
RI,1:156254975-156255058:+@1:156255316-156255774:+,0.99,0.99,0.972,same,same,TMEM79
RI,1:156254975-156255058:+@1:156256051-156256264:+,0.816,0.826,0.784,same,same,TMEM79
RI,1:156254975-156255774:+@1:156256051-156256264:+,0.07,0.064,0.056,same,same,TMEM79
RI,1:1563399-1563559:+@1:1563653-1563779:+,0.084,0.094,0.252,higher,same,MIB2
RI,1:1563653-1563779:+@1:1563869-1564102:+,0.056,0.074,0.108,same,same,MIB2
RI,1:1564765-1564784:+@1:1564868-1564946:+,0.874,0.792,0.743333333333333,lower,same,MIB2
RI,1:156496391-156496015:-@1:156495344-156495197:-,0.984,0.974,0.942,same,same,IQGAP3
RI,1:156566270-156566179:-@1:156565923-156565873:-,0.008,0.01,0.032,same,same,GPATCH4
RI,1:156566270-156566179:-@1:156566040-156565873:-,0.202,0.25,0.532,higher,same,GPATCH4
RI,1:156701783-156701907:+@1:156702073-156702265:+,0.312,0.488,0.608,higher,higher,RRNAD1
RI,1:156713247-156712963:-@1:156712804-156711902:-,0.766,0.774,0.766,same,same,HDGF
RI,1:156715165-156715089:-@1:156714938-156714800:-,0.038,0.038,0.036,same,same,HDGF
RI,1:159899183-159899141:-@1:159898808-159897948:-,0.02,0.022,0.04,same,same,IGSF9
RI,1:159900229-159899979:-@1:159899765-159899681:-,0.024,0.022,0.052,same,same,IGSF9
RI,1:160971143-160971075:-@1:160970917-160970810:-,0.02,0.022,0.016,same,same,F11R
RI,1:160971143-160971075:-@1:160970917-160970810:-,0.02,0.022,0.016,same,same,RP11-544M22.13
RI,1:161007865-161007703:-@1:161007616-161007421:-,0.054,0.05,0.056,same,same,RP11-544M22.13
RI,1:161007865-161007703:-@1:161007616-161007421:-,0.054,0.05,0.056,same,same,TSTD1
RI,1:161019124-161018779:-@1:161018145-161016738:-,0.94,0.924,0.914,same,same,ARHGAP30
RI,1:161022333-161022230:-@1:161022153-161022076:-,0.16,0.115,0.33,higher,same,ARHGAP30
RI,1:161023175-161023048:-@1:161022587-161022416:-,0.098,0.103333333333333,0.325,higher,same,ARHGAP30
RI,1:161088924-161089178:+@1:161089283-161089402:+,0.116,0.154,0.49,higher,same,NIT1
RI,1:161088924-161089178:+@1:161089299-161089402:+,0.062,0.072,0.248,higher,same,NIT1
RI,1:161094316-161094130:-@1:161094000-161093928:-,0.968,0.956,0.968,same,same,DEDD
RI,1:161094316-161094130:-@1:161094000-161093928:-,0.968,0.956,0.968,same,same,NIT1
RI,1:161094316-161094204:-@1:161094000-161093928:-,0.97,0.946,0.962,same,same,DEDD
RI,1:161094316-161094204:-@1:161094000-161093928:-,0.97,0.946,0.962,same,same,NIT1
RI,1:161134324-161134402:+@1:161134625-161134732:+,0.272,0.256,0.406,higher,same,USP21
RI,1:161136890-161137024:+@1:161137129-161137276:+,0.46,0.52,0.486,same,same,PPOX
RI,1:161136890-161137024:+@1:161137161-161137276:+,0.234,0.31,0.42,higher,same,PPOX
RI,1:161140697-161140739:+@1:161140824-161140971:+,0.086,0.066,0.136,same,same,PPOX
RI,1:161140697-161140739:+@1:161140824-161141008:+,0.082,0.06,0.142,same,same,PPOX
RI,1:161143839-161143649:-@1:161143517-161143395:-,0.048,0.058,0.1,same,same,B4GALT3
RI,1:161143839-161143649:-@1:161143517-161143395:-,0.048,0.058,0.1,same,same,PPOX
RI,1:161146896-161146702:-@1:161146369-161146224:-,0.084,0.17,0.154,same,same,B4GALT3
RI,1:161146896-161146702:-@1:161146369-161146224:-,0.084,0.17,0.154,same,same,PPOX
RI,1:161183654-161183711:+@1:161183946-161184185:+,0.028,0.024,0.026,same,same,NDUFS2
RI,1:162469745-162470037:+@1:162470703-162470894:+,0.01,0.01,0.01,same,same,UHMK1
RI,1:16270390-16270303:-@1:16270210-16270094:-,0.14,0.212,0.506,higher,same,ZBTB17
RI,1:1635379-1635263:-@1:1635063-1634915:-,0.06,0.096,0.172,higher,same,CDK11A
RI,1:1635379-1635263:-@1:1635063-1634915:-,0.06,0.096,0.172,higher,same,RP1-283E3.8
RI,1:1635783-1635662:-@1:1635585-1635478:-,0.046,0.084,0.164,higher,same,CDK11A
RI,1:1635783-1635662:-@1:1635585-1635478:-,0.046,0.084,0.164,higher,same,RP1-283E3.8
RI,1:1636094-1635989:-@1:1635783-1635662:-,0.22,0.354,0.632,higher,higher,CDK11A
RI,1:1636094-1635989:-@1:1635783-1635662:-,0.22,0.354,0.632,higher,higher,RP1-283E3.8
RI,1:1654270-1654147:-@1:1654073-1654027:-,0.034,0.034,0.054,same,same,CDK11A
RI,1:1654270-1654147:-@1:1654073-1654027:-,0.034,0.034,0.054,same,same,RP1-283E3.8
RI,1:16775588-16775696:+@1:16778333-16778510:+,0.008,0.01,0.008,same,same,NECAP2
RI,1:16785337-16785545:+@1:16786272-16786572:+,0.99,0.992,0.984,same,same,NECAP2
RI,1:16785337-16785557:+@1:16785769-16786572:+,0.956,0.958,0.972,same,same,NECAP2
RI,1:171310552-171310632:+@1:171311084-171311223:+,0.896,0.88,0.912,same,same,FMO4
RI,1:17279797-17279976:+@1:17280718-17280852:+,0.736,0.83,0.958,higher,same,CROCC
RI,1:17313451-17313300:-@1:17313127-17312958:-,0.048,0.078,0.152,higher,same,ATP13A2
RI,1:17313451-17313300:-@1:17313127-17312958:-,0.048,0.078,0.152,higher,same,RP1-37C10.3
RI,1:173833442-173833395:-@1:173833213-173833039:-,0.048,0.052,0.054,same,same,GAS5
RI,1:173833442-173833395:-@1:173833213-173833039:-,0.048,0.052,0.054,same,same,GAS5-AS1
RI,1:173833644-173833622:-@1:173833442-173833395:-,0.514,0.548,0.492,same,same,GAS5
RI,1:173833842-173833622:-@1:173833442-173833395:-,0.516,0.464,0.438,same,same,GAS5
RI,1:173833842-173833813:-@1:173833442-173833395:-,0.35,0.372,0.432,same,same,GAS5
RI,1:173833842-173833813:-@1:173833644-173833622:-,0.448,0.412,0.444,same,same,GAS5
RI,1:173834420-173834367:-@1:173833842-173833395:-,0.224,0.248,0.296,same,same,GAS5
RI,1:173834685-173834609:-@1:173834420-173834367:-,0.04,0.034,0.054,same,same,GAS5
RI,1:173834685-173834648:-@1:173834420-173834367:-,0.032,0.032,0.05,same,same,GAS5
RI,1:173835344-173835315:-@1:173835032-173834995:-,0.538,0.48,0.452,same,same,GAS5
RI,1:173835934-173835899:-@1:173835705-173835666:-,0.01,0.01,0.01,same,same,GAS5
RI,1:17402318-17402174:-@1:17401444-17401351:-,0.01,0.01,0.002,same,same,PADI2
RI,1:175958615-175958498:-@1:175957548-175957424:-,0.01,0.002,0,same,same,RFWD2
RI,1:179078576-179078343:-@1:179078033-179076853:-,0.574,0.528,0.648,same,same,ABL2
RI,1:180080132-180080330:+@1:180081572-180082515:+,0.784,0.836,0.94,higher,same,CEP350
RI,1:182852274-182852351:+@1:182852455-182852503:+,0.996,1,0.996,same,same,DHX9
RI,1:186312605-186312458:-@1:186310521-186310384:-,0,0.004,0.006,same,same,TPR
RI,1:19199451-19199298:-@1:19198284-19197926:-,0.984,0.962,0.958,same,same,ALDH4A1
RI,1:19199451-19199298:-@1:19198284-19197926:-,0.984,0.962,0.958,same,same,RP13-279N23.2
RI,1:192779296-192779397:+@1:192779500-192779561:+,0.028,0.036,0.034,same,same,RGS2
RI,1:201458112-201457983:-@1:201454504-201454411:-,0.01,0.01,0.006,same,same,CSRP1
RI,1:201981085-201981306:+@1:201981472-201981564:+,0.052,0.05,0.068,same,same,ELF3
RI,1:201981085-201981306:+@1:201981472-201981564:+,0.052,0.05,0.068,same,same,RP11-510N19.5
RI,1:202104928-202104835:-@1:202104654-202104587:-,0.016,0.016,0.024,same,same,ARL8A
RI,1:202302463-202302365:-@1:202302221-202302138:-,0.03,0.036,0.08,same,same,UBE2T
RI,1:202935728-202935656:-@1:202935121-202935015:-,0.016,0.028,0.028,same,same,CYB5R1
RI,1:202935728-202935656:-@1:202935237-202935015:-,0.088,0.13,0.126,same,same,CYB5R1
RI,1:203830731-203830871:+@1:203831310-203831350:+,0.03,0.03,0.034,same,same,SNRPE
RI,1:204415272-204415215:-@1:204415130-204415084:-,0.884,0.916,0.812,same,same,PIK3C2B
RI,1:205492275-205492425:+@1:205492611-205492753:+,0.1,0.218,0.15,same,higher,CDK18
RI,1:205498452-205498557:+@1:205498649-205499477:+,0.116,0.166,0.374,higher,same,CDK18
RI,1:205498649-205498691:+@1:205499314-205499477:+,0.49,0.268,0.546,same,lower,CDK18
RI,1:205498649-205498691:+@1:205499387-205499477:+,0.064,0.044,0.218,higher,same,CDK18
RI,1:207497904-207497925:+@1:207498012-207498095:+,0.976,0.984,0.984,same,same,CD55
RI,1:207510038-207510163:+@1:207510674-207510754:+,0.094,0.152,0.38,higher,same,CD55
RI,1:207932984-207933069:+@1:207934594-207934791:+,0.01,0,0,same,same,CD46
RI,1:207940358-207940540:+@1:207943666-207943707:+,0.02,0.01,0.004,same,same,CD46
RI,1:20974998-20975125:+@1:20975488-20975724:+,0.07,0.086,0.114,same,same,PINK1
RI,1:20974998-20975125:+@1:20975488-20975724:+,0.07,0.086,0.114,same,same,PINK1-AS
RI,1:212788360-212788387:+@1:212788494-212788603:+,0.924,0.966,0.946,same,same,ATF3
RI,1:212788364-212788402:+@1:212788490-212788603:+,0.942,0.966,0.964,same,same,ATF3
RI,1:212792388-212792608:+@1:212792700-212792897:+,0.362,0.33,0.636,higher,same,ATF3
RI,1:213124681-213124734:+@1:213124931-213125160:+,0.626,0.608,0.566,same,same,VASH2
RI,1:213124681-213124738:+@1:213124977-213125160:+,0.73,0.64,0.666,same,same,VASH2
RI,1:213414045-213415640:+@1:213415912-213416001:+,0.114,0.214,0.206,same,same,RPS6KC1
RI,1:214504293-214504413:+@1:214505361-214507651:+,0.072,0.098,0.082,same,same,SMYD2
RI,1:214505361-214505535:+@1:214507543-214507651:+,0.02,0.028,0.02,same,same,SMYD2
RI,1:21930405-21930151:-@1:21929406-21929297:-,0.064,0.058,0.102,same,same,RAP1GAP
RI,1:21930405-21930328:-@1:21929406-21929297:-,0.024,0.02,0.042,same,same,RAP1GAP
RI,1:22204984-22204926:-@1:22204746-22204679:-,0.052,0.04,0.03,same,same,HSPG2
RI,1:223010338-223010408:+@1:223010561-223010726:+,0.904,0.936,0.946,same,same,DISP1
RI,1:223010338-223010408:+@1:223010561-223010726:+,0.904,0.936,0.946,same,same,RP11-452F19.3
RI,1:223957543-223957611:+@1:223958149-223958227:+,0.01,0.01,0.01,same,same,CAPN2
RI,1:226555309-226555181:-@1:226553753-226553655:-,0,0,0,same,same,PARP1
RI,1:227083125-227083232:+@1:227083507-227083799:+,0.97,0.96,0.968,same,same,PSEN2
RI,1:227169728-227169850:+@1:227170379-227170464:+,0.02,0.018,0.02,same,same,ADCK3
RI,1:227171462-227171555:+@1:227171795-227171936:+,0.074,0.076,0.072,same,same,ADCK3
RI,1:228284779-228284963:+@1:228285043-228285153:+,0.028,0.028,0.034,same,same,ARF1
RI,1:228284779-228284963:+@1:228285043-228285153:+,0.028,0.028,0.034,same,same,MIR3620
RI,1:228290083-228290011:-@1:228289866-228289781:-,0.066,0.106,0.264,higher,same,C1orf35
RI,1:228290261-228290179:-@1:228290083-228290011:-,0.096,0.134,0.272,higher,same,C1orf35
RI,1:228296717-228296656:-@1:228296209-228296138:-,0.972,0.982,0.972,same,same,MRPL55
RI,1:228296722-228296656:-@1:228296175-228296138:-,0.66,0.854,0.91,higher,higher,MRPL55
RI,1:228296732-228296656:-@1:228296175-228296138:-,0.71,0.86,0.924,higher,higher,MRPL55
RI,1:228333211-228333350:+@1:228333727-228333768:+,0.024,0.022,0.054,same,same,GUK1
RI,1:228333212-228333325:+@1:228333714-228333768:+,0.046,0.04,0.076,same,same,GUK1
RI,1:228333212-228333325:+@1:228333727-228333768:+,0.01,0.01,0.026,same,same,GUK1
RI,1:228333212-228333350:+@1:228333727-228333768:+,0.024,0.022,0.054,same,same,GUK1
RI,1:228335107-228335245:+@1:228335316-228335400:+,0.02,0.024,0.02,same,same,GUK1
RI,1:228335107-228335245:+@1:228335322-228335400:+,0.3,0.312,0.294,same,same,GUK1
RI,1:230805102-230805281:+@1:230807262-230807386:+,0.016,0.068,0.148,higher,same,COG2
RI,1:231361269-231361217:-@1:231360160-231359509:-,0.028,0.03,0.026,same,same,C1orf131
